   Time             Iout              I_PV              VP1               P_buck_out        Pmax              V_PV_out          S_irrendation     Vout              V_buck_out        P_PV_out          duty_cycle        V_PV            MPPT_efficiency     D               
 4.000000000E-004  3.887584207E+000 -3.317463335E+000  2.338775189E+001  0.000000000E+000  4.396896292E+001  2.338774526E+001  1.200000000E+003  2.332550524E+001  0.000000000E+000  0.000000000E+000  1.000000000E+000  2.500000000E+001  0.000000000E+000  8.000000000E-001 
 8.000000000E-004  3.711968603E+000 -9.300326553E-001  2.238488572E+001  9.067986576E+001  4.396896292E+001  2.238488386E+001  1.200000000E+003  2.227181162E+001  2.332550524E+001  0.000000000E+000  1.000000000E+000  2.338775189E+001  0.000000000E+000  7.000000000E-001 
 1.200000000E-003  3.601047517E+000  3.826239698E-001  2.164352652E+001  8.267226544E+001  4.396896292E+001  2.164352729E+001  1.200000000E+003  2.160628509E+001  2.227181162E+001  0.000000000E+000  1.000000000E+000  2.238488572E+001  0.000000000E+000  8.000000000E-001 
 1.600000000E-003  3.510473192E+000  1.123154096E+000  2.106582325E+001  7.780525919E+001  4.396896292E+001  2.106582550E+001  1.200000000E+003  2.106283916E+001  2.160628509E+001  8.281332040E+000  1.000000000E+000  2.164352652E+001  0.000000000E+000  8.000000000E-001 
 2.000000000E-003  3.437583882E+000  1.524023908E+000  2.064298264E+001  7.394053229E+001  4.396896292E+001  2.064298568E+001  1.200000000E+003  2.062550327E+001  2.106283916E+001  2.366016575E+001  1.000000000E+000  2.106582325E+001  0.000000000E+000  8.000000000E-001 
 2.400000000E-003  3.379389948E+000  1.780403043E+000  2.028963615E+001  7.090189753E+001  4.396896292E+001  2.028963971E+001  1.200000000E+003  2.027633968E+001  2.062550327E+001  3.146039914E+001  1.000000000E+000  2.064298264E+001  6.458444310E+000  8.000000000E-001 
 2.800000000E-003  3.331693591E+000  1.955167122E+000  1.998071092E+001  6.852165852E+001  4.396896292E+001  1.998071483E+001  1.200000000E+003  1.999016153E+001  2.027633968E+001  3.612373001E+001  1.000000000E+000  2.028963615E+001  1.907492679E+001  8.000000000E-001 
 3.200000000E-003  3.287150534E+000  2.068982109E+000  1.972902958E+001  6.660109300E+001  4.396896292E+001  1.972903372E+001  1.200000000E+003  1.972290319E+001  1.999016153E+001  3.906562912E+001  1.000000000E+000  1.998071092E+001  2.904253628E+001  8.000000000E-001 
 3.600000000E-003  3.248186140E+000  2.153694062E+000  1.950028313E+001  6.483215167E+001  4.396896292E+001  1.950028744E+001  1.200000000E+003  1.948911683E+001  1.972290319E+001  4.081900924E+001  1.000000000E+000  1.972902958E+001  3.701671436E+001  8.000000000E-001 
 4.000000000E-003  3.215190553E+000  2.220857517E+000  1.928049092E+001  6.330427917E+001  4.396896292E+001  1.928049536E+001  1.200000000E+003  1.929114331E+001  1.948911683E+001  4.199764406E+001  1.000000000E+000  1.950028313E+001  4.351669802E+001  8.000000000E-001 
 4.400000000E-003  3.182440341E+000  2.268224474E+000  1.909528170E+001  6.202470174E+001  4.396896292E+001  1.909528624E+001  1.200000000E+003  1.909464205E+001  1.929114331E+001  4.281922320E+001  1.000000000E+000  1.928049092E+001  4.890353928E+001  8.000000000E-001 
 4.800000000E-003  3.152188086E+000  2.305456228E+000  1.892460498E+001  6.076755917E+001  4.396896292E+001  1.892460959E+001  1.200000000E+003  1.891312853E+001  1.909464205E+001  4.331238536E+001  1.000000000E+000  1.909528170E+001  5.341291980E+001  8.000000000E-001 
